Date,Year,rainfall,Stn_rain,min_temp,Stn_min,max_temp,Stn_max,City
30/06/1976,1976,0.4,066062,10.4,066062,12.6,066062,Sydney
30/06/1981,1981,0,066062,7.1,066062,19.3,066062,Sydney
30/06/1986,1986,0,066062,5.5,066062,16.4,066062,Sydney
06/08/1991,1991,1.2,066062,10.5,066062,18.2,066062,Sydney
06/08/1996,1996,0,066062,7.3,066062,20.1,066062,Sydney
07/08/2001,2001,0,066062,7.3,066062,19.2,066062,Sydney
08/08/2006,2006,0,066062,6.9,066062,21.1,066062,Sydney
09/08/2011,2011,0,066062,7.8,066062,17.1,066062,Sydney
30/06/1976,1976,0.4,086071,8.5,086071,13.9,086071,Melbourne
30/06/1981,1981,0,086071,9.5,086071,16.3,086071,Melbourne
30/06/1986,1986,0,086071,9.8,086071,13.3,086071,Melbourne
06/08/1991,1991,7.8,086071,10,086071,14.9,086071,Melbourne
06/08/1996,1996,0,086071,9.4,086071,14.6,086071,Melbourne
07/08/2001,2001,0.2,086071,7.6,086071,13.7,086071,Melbourne
08/08/2006,2006,0,086071,5.3,086071,17.9,086071,Melbourne
09/08/2011,2011,0.2,086071,7,086071,12.6,086071,Melbourne
30/06/1976,1976,0,040212,6,040265,19.5,040265,Brisbane
30/06/1981,1981,0,040212,11.2,040265,20.6,040265,Brisbane
30/06/1986,1986,0,040212,1.9,040211,21.5,040211,Brisbane
06/08/1991,1991,0,040212,11.5,040211,27.8,040211,Brisbane
06/08/1996,1996,0,040212,5.5,040211,22,040211,Brisbane
07/08/2001,2001,0,040212,8.2,040211,22.5,040211,Brisbane
08/08/2006,2006,0,040212,8.2,040211,22.5,040211,Brisbane
09/08/2011,2011,0,040212,5.6,040211,21.7,040211,Brisbane
30/06/1976,1976,0.6,023034,5.4,023034,14.7,023034,Adelaide
30/06/1981,1981,0.8,023034,10.5,023034,18.5,023034,Adelaide
30/06/1986,1986,0,023034,10,023034,20,023034,Adelaide
06/08/1991,1991,1,023034,10.6,023034,14.4,023034,Adelaide
06/08/1996,1996,1,023034,9.8,023034,12.9,023034,Adelaide
07/08/2001,2001,0.4,023034,10.1,023034,13.9,023034,Adelaide
08/08/2006,2006,0,023034,4.2,023034,21.7,023034,Adelaide
09/08/2011,2011,1.8,023034,10.8,023034,14.6,023034,Adelaide
30/06/1976,1976,12.2,009021,9.4,009021,18.5,009021,Perth
30/06/1981,1981,5.8,009021,6.5,009021,12.6,009021,Perth
30/06/1986,1986,0.2,009021,8.5,009021,17.9,009021,Perth
06/08/1991,1991,0,009021,4.4,009021,17.5,009021,Perth
06/08/1996,1996,3.4,009021,2.9,009021,15.5,009021,Perth
07/08/2001,2001,1.2,009021,7.9,009021,18.1,009021,Perth
08/08/2006,2006,3,009021,8.4,009021,17.9,009021,Perth
09/08/2011,2011,2.2,009021,8.4,009021,18.7,009021,Perth
30/06/1976,1976,0,094029,3.6,094029,10.4,094029,Hobart
30/06/1981,1981,0,094029,10.5,094029,17.3,094029,Hobart
30/06/1986,1986,0,094029,1.1,094029,8.7,094029,Hobart
06/08/1991,1991,10.8,094029,7.2,094029,11.6,094029,Hobart
06/08/1996,1996,0,094029,6.9,094029,15.7,094029,Hobart
07/08/2001,2001,0.2,094029,7.9,094029,14.4,094029,Hobart
08/08/2006,2006,0,094029,4.4,094029,15.5,094029,Hobart
09/08/2011,2011,3,094029,8.4,094029,11.3,094029,Hobart
30/06/1976,1976,4.4,070014,-1,070014,8.6,070014,Canberra
30/06/1981,1981,0,070014,0.4,070014,12.4,070014,Canberra
30/06/1986,1986,0,070014,-4.9,070014,10.8,070014,Canberra
06/08/1991,1991,19.8,070014,5.8,070014,10.9,070014,Canberra
06/08/1996,1996,0,070014,-0.1,070014,13.8,070014,Canberra
07/08/2001,2001,0,070014,-1.7,070014,11.6,070014,Canberra
08/08/2006,2006,0,070014,-6,070014,17.4,070014,Canberra
09/08/2011,2011,0.2,070351,-1.8,070351,12.8,070351,Canberra
