Method of Travel to Work,Sydney (SD),Balance of NSW,New South Wales,Melbourne (SD),Balance of Victoria,Victoria,Brisbane (SD),Balance of Qld,Queensland,Adelaide (SD),Balance of SA,South Australia,Perth (SD),Balance of WA,Western Australia,Hobart (SD),Balance of Tasmania,Tasmania,Darwin (SD),Balance of NT,Northern Territory,Canberra Statistical District (ACT Part),Balance of A.C.T. (SD),Australian Capital Territory,Not Stated,Australia
Train,"122,739","4,532","127,271","93,320","1,550","94,870","24,856",581,"25,437","10,283",125,"10,408","5,262",69,"5,331",20,38,58,16,17,33,37,0,37,894,"264,339"
Bus,"122,726","23,482","146,208","42,083","8,351","50,434","31,624","7,147","38,771","39,842","2,718","42,560","30,077","5,119","35,196","7,669","3,806",11475,578,"1,039",1617,"6,837",4,6841,"1,840","334,942"
"Train, bus","43,674",388,"44,062","13,808",87,"13,895","3,358",41,"3,399","1,023",17,"1,040","1,388",11,"1,399",7,4,11,0,0,0,0,0,0,288,"64,094"
Ferry/tram,"5,305",595,"5,900","43,786",383,"44,169",697,493,"1,190","1,434",182,"1,616",269,321,590,"2,368",152,2520,31,27,58,68,0,68,345,"56,456"
"Train, ferry/tram",762,26,788,"6,427",74,"6,501",12,4,16,26,3,29,3,0,3,0,0,0,0,3,3,3,0,3,32,"7,375"
"Bus, ferry/tram","2,545",171,"2,716","6,572",12,"6,584",343,11,354,212,0,212,32,0,32,"1,674",14,1688,3,0,3,3,0,3,49,"11,641"
"Train, bus, ferry/tram",769,15,784,"2,234",19,"2,253",62,5,67,12,0,12,6,0,6,0,0,0,0,0,0,0,0,0,23,"3,145"
Taxi,"8,602","3,316","11,918","5,747","1,491","7,238","2,605","1,858","4,463","1,510",426,"1,936","1,381",412,"1,793",414,400,814,96,99,195,360,0,360,231,"28,948"
"Train, taxi",661,34,695,264,10,274,97,0,97,21,3,24,12,0,12,0,0,0,0,0,0,0,0,0,6,"1,108"
"Bus, taxi",953,117,"1,070",244,66,310,208,42,250,89,4,93,59,7,66,35,13,48,3,0,3,30,0,30,19,"1,889"
"Train, bus, taxi",827,20,847,242,7,249,53,7,60,20,0,20,14,0,14,0,0,0,0,0,0,0,0,0,23,"1,213"
"Ferry/tram, taxi",50,7,57,181,0,181,12,6,18,4,0,4,4,0,4,22,0,22,0,0,0,0,0,0,0,286
"Train, ferry/tram, taxi",19,3,22,89,14,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
"Bus, ferry/tram, taxi",65,6,71,74,0,74,6,3,9,8,0,8,4,0,4,38,0,38,0,0,0,3,0,3,3,210
"Car, as driver","645,563","345,158","990,721","609,974","200,646","810,620","222,367","184,698","407,065","229,641","63,282","292,923","204,435","62,179","266,614","34,816","50,038",84854,"11,501","5,485",16986,"59,119",70,59189,"8,657","2,937,629"
"Train, car as driver","11,404",258,"11,662","6,677",282,"6,959","2,504",48,"2,552",720,34,754,661,9,670,0,7,7,3,0,3,12,0,12,37,"22,656"
"Bus, car as driver","2,009",310,"2,319",524,156,680,619,119,738,930,86,"1,016",450,64,514,125,66,191,10,9,19,120,0,120,17,"5,614"
"Train, bus, car as driver","1,373",25,"1,398",291,15,306,145,3,148,81,6,87,61,0,61,3,0,3,0,0,0,0,0,0,10,"2,013"
"Ferry/tram, car as driver",987,117,"1,104","1,544",37,"1,581",420,60,480,154,56,210,67,28,95,"1,578",35,1613,4,5,9,3,0,3,15,"5,110"
"Train, ferry/tram, car as driver",120,0,120,625,99,724,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850
"Bus, ferry/tram, car as driver",125,10,135,78,8,86,39,4,43,6,0,6,14,0,14,232,10,242,5,0,5,3,0,3,0,534
"Taxi, car as driver",285,99,384,255,51,306,115,100,215,79,4,83,87,22,109,21,16,37,7,9,16,23,0,23,8,"1,181"
"Train, taxi, car as driver",54,0,54,16,5,21,8,0,8,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,89
"Bus, taxi, car as driver",62,6,68,11,7,18,16,10,26,10,3,13,7,6,13,5,3,8,3,0,3,6,0,6,3,158
"Ferry/tram, taxi, car as driver",8,0,8,13,0,13,6,0,6,3,0,3,3,3,6,19,0,19,0,0,0,0,0,0,3,58
"Car, as passenger","117,339","74,044","191,383","116,158","40,822","156,980","48,368","44,534","92,902","46,689","12,396","59,085","36,221","14,071","50,292","7,602","10,754",18356,"2,951","1,560",4511,"11,091",13,11104,"2,328","586,941"
"Train, car as passenger","6,951",153,"7,104","4,179",86,"4,265","1,666",14,"1,680",381,14,395,316,0,316,0,0,0,0,0,0,6,0,6,37,"13,803"
"Bus, car as passenger","2,787",451,"3,238","1,502",230,"1,732","1,065",150,"1,215","1,195",33,"1,228",791,45,836,154,48,202,17,0,17,241,3,244,30,"8,742"
"Train, bus, car as passenger","2,337",23,"2,360",853,6,859,338,6,344,71,8,79,116,0,116,0,0,0,0,0,0,0,0,0,15,"3,773"
"Ferry/tram, car as passenger",289,36,325,"1,929",30,"1,959",163,28,191,73,8,81,12,0,12,629,22,651,0,3,3,0,0,0,0,"3,222"
"Train, ferry/tram, car as passenger",57,6,63,969,44,"1,013",3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,"1,088"
"Bus, ferry/tram, car as passenger",109,12,121,217,3,220,65,4,69,16,0,16,3,0,3,186,0,186,0,0,0,0,0,0,3,618
"Taxi, car as passenger",187,55,242,139,45,184,66,33,99,49,4,53,29,11,40,5,10,15,3,3,6,36,0,36,0,675
"Train, taxi, car as passenger",96,10,106,33,6,39,18,0,18,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,169
"Bus, taxi, car as passenger",92,25,117,12,13,25,26,7,33,12,3,15,12,0,12,10,3,13,0,3,3,8,0,8,3,229
"Ferry/tram, taxi, car as passenger",5,0,5,12,0,12,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,26
"Car as driver, car as passenger","1,536",826,"2,362","1,218",522,"1,740",579,462,"1,041",595,91,686,400,133,533,98,145,243,45,19,64,185,0,185,33,"6,887"
"Train, car as driver, car as passenger",165,7,172,115,10,125,44,3,47,9,0,9,6,0,6,0,0,0,0,0,0,0,0,0,3,362
"Bus, car as driver, car as passenger",50,20,70,12,17,29,24,10,34,25,4,29,24,3,27,9,0,9,0,0,0,17,0,17,4,219
"Ferry/tram, car as driver, car as passenger",12,0,12,16,7,23,24,3,27,3,4,7,0,0,0,50,0,50,0,0,0,0,0,0,0,119
"Taxi, car as driver, car as passenger",17,18,35,15,4,19,12,7,19,0,4,4,14,6,20,0,0,0,0,0,0,0,0,0,0,97
Motorbike/scooter,"12,322","14,050","26,372","6,006","4,128","10,134","7,615","13,801","21,416","6,032","3,951","9,983","3,785","2,242","6,027",441,908,1349,599,415,1014,"1,078",8,1086,283,"77,664"
"Train, motorbike/scooter",195,11,206,55,5,60,66,7,73,11,0,11,16,0,16,0,0,0,0,0,0,0,0,0,0,366
"Bus, motorbike/scooter",29,15,44,6,8,14,20,12,32,12,5,17,6,9,15,4,4,8,3,0,3,0,0,0,3,136
"Train, bus, motorbike/scooter",34,0,34,3,0,3,3,0,3,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,3,52
"Ferry/tram, motorbike/scooter",19,0,19,20,0,20,7,4,11,0,3,3,0,0,0,27,0,27,0,0,0,0,0,0,0,80
"Train, ferry/tram, motorbike/scooter",0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Bus, ferry/tram, motorbike/scooter",5,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Taxi, motorbike/scooter",4,7,11,0,0,0,3,8,11,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,28
"Train, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry/tram, taxi, motorbike/scooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Car as driver, motorbike/scooter",252,364,616,147,185,332,171,308,479,97,125,222,94,89,183,16,30,46,9,11,20,24,0,24,13,"1,935"
"Train, car as driver, motorbike/scooter",10,0,10,6,0,6,5,3,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Bus, car as driver,, motorbike/scooter",3,6,9,3,0,3,3,3,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Ferry/tram, car as driver, motorbike/scooter",0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9
"Taxi, car as driver, motorbike/scooter",0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Car as passenger, motorbike/scooter",59,59,118,46,21,67,25,40,65,18,19,37,10,10,20,0,6,6,0,3,3,5,0,5,3,324
"Train, car as passenger, motorbike/scooter",4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Bus, car as passenger, motorbike/scooter",3,0,3,6,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Ferry/tram, car as passenger, motorbike/scooter",0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Taxi, car as passenger, motorbike/scooter",3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Car as driver, car as passenger, motorbike/scooter",16,21,37,14,9,23,5,38,43,4,9,13,3,8,11,3,0,3,3,3,6,0,0,0,3,139
Bicycle,"4,263","5,053","9,316","10,008","7,646","17,654","2,468","7,898","10,366","7,923","1,746","9,669","2,790","1,181","3,971",181,530,711,228,451,679,737,0,737,269,"53,372"
"Train, bicycle",109,11,120,265,15,280,80,3,83,109,0,109,27,0,27,0,0,0,0,0,0,0,0,0,3,622
"Bus, bicycle",45,24,69,49,24,73,8,26,34,64,0,64,27,0,27,0,4,4,0,3,3,8,0,8,0,282
"Train, bus, bicycle",41,4,45,45,0,45,12,0,12,3,0,3,6,0,6,0,6,6,0,0,0,0,0,0,0,117
"Ferry/tram, bicycle",3,9,12,48,5,53,27,4,31,6,0,6,0,3,3,14,0,14,0,0,0,0,0,0,0,119
"Train, ferry/tram, bicycle",4,0,4,38,3,41,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,48
"Bus, ferry/tram, bicycle",0,3,3,4,0,4,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,14
"Taxi, bicycle",3,6,9,11,3,14,0,5,5,4,0,4,4,3,7,0,0,0,0,0,0,3,0,3,0,42
"Train, taxi, bicycle",3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Bus, taxi, bicycle",0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry/tram, taxi, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Car as driver, bicycle",99,122,221,131,121,252,35,92,127,134,30,164,54,30,84,3,17,20,3,9,12,20,0,20,14,914
"Train, car as driver, bicycle",9,0,9,8,0,8,3,0,3,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Bus, car as driver, bicycle",7,6,13,6,3,9,0,3,3,6,0,6,0,0,0,0,3,3,0,0,0,4,0,4,3,41
"Ferry/tram, car as driver, bicycle",6,0,6,16,0,16,0,4,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,29
"Taxi, car as driver, bicycle",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Car as passenger, bicycle",37,13,50,96,65,161,35,67,102,48,15,63,24,0,24,3,5,8,0,0,0,6,0,6,0,414
"Train, car as passenger, bicycle",0,0,0,10,0,10,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Bus, car as passenger, bicycle",5,0,5,4,5,9,0,0,0,8,0,8,4,0,4,0,0,0,0,0,0,3,0,3,0,29
"Ferry/tram, car as passenger, bicycle",0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Taxi, car as passenger, bicycle",0,3,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Car as driver, car as passenger, bicycle",0,5,5,16,7,23,8,7,15,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Motorbike/scooter bicycle,9,0,9,6,4,10,4,7,11,11,5,16,0,3,3,0,0,0,0,0,0,0,0,0,3,52
"Train, motorbike/scooter, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, motorbike/scooter, bicycle",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry/tram, motorbike/scooter, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taxi, motorbike/scooter, bicycle",0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Car as driver, motorbike/scooter, bicycle",6,3,9,0,0,0,0,6,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,18
"Car as passenger, motorbike/scooter, bicycle",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Worked at home,"45,544","87,511","133,055","40,766","76,354","117,120","17,240","60,158","77,398","13,485","28,065","41,550","11,793","22,021","33,814","2,669","10,380",13049,727,"1,286",2013,"2,280",63,2343,987,"421,329"
