Method of Travel to Work,Sydney (SD),Balance of NSW,New South Wales,Melbourne (SD),Balance of Victoria,Victoria,Brisbane (SD),Balance of Qld,Queensland,Adelaide (SD),Balance of SA,South Australia,Perth (SD),Balance of WA,Western Australia,Hobart (SD),Balance of Tasmania,Tasmania,Darwin (SD),Balance of NT,Northern Territory,Canberra (SD) (ACT Part),Balance of ACT (SD),Australian Capital Territory,Not Stated,Total Australia
Train,"131,401","5,256","136,657","78,378","1,560","79,938","24,777",511,"25,288","9,313",147,"9,460","3,993",67,"4,060",23,51,74,22,25,47,49,0,49,929,"256,502"
Bus,"94,427","18,416","112,843","31,052","6,615","37,667","20,036","6,556","26,592","35,715","2,582","38,297","28,039","4,907","32,946","7,679","3,172","10,851","1,185","1,212","2,397","8,462",12,"8,474","1,347","271,414"
Ferry/tram,"4,809",577,"5,386","38,617",309,"38,926",721,650,"1,371","1,293",93,"1,386",236,349,585,69,163,232,24,53,77,48,3,51,307,"48,321"
Taxi,"8,551","3,169","11,720","5,578","1,360","6,938","3,275","1,799","5,074","1,443",287,"1,730","1,522",439,"1,961",307,332,639,186,126,312,399,0,399,200,"28,973"
Car as driver,"702,389","398,588","1,100,977","668,885","220,490","889,375","249,173","210,396","459,569","224,766","64,618","289,384","238,890","72,055","310,945","39,982","54,390","94,372","15,849","7,442","23,291","61,015",130,"61,145","8,507","3,237,565"
Car as passenger,"112,146","75,467","187,613","111,819","39,530","151,349","47,378","44,607","91,985","37,928","10,909","48,837","36,283","14,853","51,136","7,997","10,557","18,554","3,476","1,958","5,434","10,177",22,"10,199","2,044","567,151"
Motorbike,"15,231","16,889","32,120","8,214","5,498","13,712","9,081","14,282","23,363","6,649","4,262","10,911","4,705","2,343","7,048",457,746,"1,203",847,517,"1,364","1,403",8,"1,411",309,"91,441"
Bicycle,"7,285","8,284","15,569","12,627","11,048","23,675","4,052","11,371","15,423","7,913","2,770","10,683","3,742","2,733","6,475",349,692,"1,041",665,923,"1,588","1,897",13,"1,910",291,"76,655"
"Train, bus","48,964",431,"49,395","9,982",74,"10,056","2,318",39,"2,357","2,119",14,"2,133","1,399",7,"1,406",3,3,6,3,0,3,7,0,7,302,"65,665"
"Train, ferry/tram",688,21,709,"4,895",87,"4,982",26,5,31,14,0,14,3,3,6,0,0,0,0,3,3,4,0,4,25,"5,774"
"Train, taxi",736,37,773,275,15,290,135,3,138,19,0,19,6,0,6,0,3,3,0,0,0,0,0,0,7,"1,236"
"Train, car as driver","15,029",384,"15,413","8,006",355,"8,361","3,378",56,"3,434",929,63,992,732,8,740,3,4,7,3,0,3,7,0,7,56,"29,013"
"Train, car as passenger","8,676",235,"8,911","4,247",151,"4,398","1,897",20,"1,917",395,20,415,321,3,324,0,0,0,0,0,0,0,0,0,28,"15,993"
"Train, motorbike",372,11,383,53,7,60,87,3,90,20,3,23,8,0,8,0,0,0,0,0,0,0,0,0,3,567
"Train, bicycle",298,18,316,559,28,587,199,3,202,164,0,164,27,0,27,0,0,0,0,0,0,0,0,0,3,"1,299"
"Bus, ferry/tram","2,471",122,"2,593","4,890",16,"4,906",157,3,160,220,0,220,20,0,20,3,0,3,0,0,0,5,0,5,40,"7,947"
"Bus, taxi",583,80,663,171,25,196,168,33,201,105,7,112,81,8,89,23,9,32,5,0,5,26,0,26,14,"1,338"
"Bus, car as driver","1,505",282,"1,787",454,148,602,508,100,608,857,82,939,"1,007",97,"1,104",145,62,207,12,8,20,118,0,118,18,"5,403"
"Bus, car as passenger","2,340",437,"2,777","1,464",186,"1,650",791,151,942,"1,043",41,"1,084",919,51,970,165,82,247,30,9,39,295,0,295,17,"8,021"
"Bus, motorbike",14,19,33,6,5,11,10,11,21,11,3,14,9,11,20,3,0,3,3,5,8,3,0,3,0,113
"Bus, bicycle",37,26,63,48,26,74,14,19,33,60,0,60,24,9,33,3,3,6,7,3,10,35,0,35,0,314
"Ferry/tram, taxi",44,0,44,158,0,158,18,4,22,3,0,3,0,0,0,0,0,0,0,3,3,3,0,3,3,236
"Ferry/tram, car as driver",894,114,"1,008","1,766",52,"1,818",374,72,446,150,42,192,61,30,91,8,18,26,5,3,8,3,0,3,9,"3,601"
"Ferry/tram, car as passenger",253,32,285,"1,868",31,"1,899",138,13,151,73,4,77,12,7,19,5,4,9,3,0,3,0,0,0,3,"2,446"
"Ferry/tram, motorbike",16,0,16,16,0,16,9,4,13,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,51
"Ferry/tram, bicycle",13,13,26,62,3,65,33,3,36,7,0,7,0,3,3,0,0,0,0,0,0,0,0,0,3,140
