Method of Travel to Work,Sydney (SD),Balance of NSW,New South Wales,Melbourne (SD),Balance of Victoria,Victoria,Brisbane (SD),Balance of Qld,Queensland,Adelaide (SD),Balance of SA,South Australia,Perth (SD),Balance of WA,Western Australia,Greater Hobart (SD),Balance of Tasmania,Tasmania,Darwin (SD),Balance of NT,Northern Territory,Canberra (SD),Balance of ACT,Australian Capital Territory,Total Australia
Train,"123,062","4,989","128,051","71,984","2,446","74,430","26,967",845,"27,812","8,044",163,"8,207","4,607",89,"4,696",30,39,69,33,24,57,92,3,95,"243,417"
Bus,"79,782","12,051","91,833","23,475","5,211","28,686","23,693","6,892","30,585","30,294","2,217","32,511","26,145","5,143","31,288","5,838","2,495","8,333","1,153","1,001","2,154","9,422",5,"9,427","234,817"
Ferry/tram,"4,244",322,"4,566","30,985",265,"31,250",691,668,"1,359","1,087",111,"1,198",233,262,495,101,154,255,34,39,73,37,4,41,"39,237"
Taxi,"8,250","2,436","10,686","4,662","1,317","5,979","2,788","2,230","5,018","1,560",366,"1,926","1,649",471,"2,120",369,316,685,233,218,451,528,0,528,"27,393"
Car as driver,"750,311","414,082","1,164,393","732,370","255,557","987,927","273,156","279,176","552,332","248,149","74,861","323,010","253,642","70,839","324,481","41,712","59,987","101,699","19,327","11,995","31,322","76,803",172,"76,975","3,562,139"
Car as passenger,"103,081","67,819","170,900","96,347","36,139","132,486","40,879","49,143","90,022","33,897","10,311","44,208","34,157","13,747","47,904","7,654","9,847","17,501","3,580","2,990","6,570","11,379",34,"11,413","521,004"
Motorbike,"12,141","14,135","26,276","6,394","5,736","12,130","7,091","13,365","20,456","5,651","3,724","9,375","4,665","2,252","6,917",441,675,"1,116",877,489,"1,366","1,290",10,"1,300","78,936"
Bicycle,"8,165","10,654","18,819","11,805","12,210","24,015","4,386","15,029","19,415","7,473","2,932","10,405","4,676","3,133","7,809",407,844,"1,251","1,199",946,"2,145","2,157",27,"2,184","86,043"
"Train, bus","43,635",425,"44,060","11,804",89,"11,893","2,166",55,"2,221","1,969",19,"1,988","1,492",10,"1,502",3,5,8,3,0,3,17,0,17,"61,692"
"Train, ferry/tram",640,12,652,"6,221",128,"6,349",28,4,32,11,0,11,6,0,6,0,5,5,0,0,0,3,0,3,"7,058"
"Train, taxi",777,44,821,285,28,313,128,5,133,24,3,27,12,0,12,0,3,3,0,0,0,0,0,0,"1,309"
"Train, car as driver","16,894",699,"17,593","10,527",704,"11,231","4,665",375,"5,040",950,101,"1,051",865,8,873,3,0,3,3,0,3,9,0,9,"35,803"
"Train, car as passenger","9,550",374,"9,924","4,378",240,"4,618","2,125",120,"2,245",392,28,420,342,3,345,0,0,0,0,0,0,3,0,3,"17,555"
"Train, motorbike",309,24,333,33,5,38,99,9,108,7,0,7,6,0,6,0,0,0,0,0,0,0,0,0,492
"Train, bicycle",452,54,506,453,35,488,338,3,341,163,0,163,48,3,51,0,0,0,0,0,0,0,0,0,"1,549"
"Bus, ferry/tram","2,436",75,"2,511","3,923",12,"3,935",121,41,162,169,3,172,33,3,36,5,3,8,0,0,0,13,0,13,"6,837"
"Bus, taxi",591,64,655,126,36,162,146,45,191,106,9,115,79,11,90,24,6,30,12,0,12,45,0,45,"1,300"
"Bus, car as driver","1,787",397,"2,184",723,262,985,"1,225",310,"1,535","1,058",195,"1,253","1,301",138,"1,439",244,112,356,21,18,39,232,0,232,"8,023"
"Bus, car as passenger","2,036",398,"2,434","1,179",192,"1,371",827,227,"1,054",929,85,"1,014",792,47,839,172,72,244,42,13,55,411,0,411,"7,422"
"Bus, motorbike",15,22,37,8,8,16,12,30,42,19,14,33,17,12,29,4,3,7,7,0,7,3,0,3,174
"Bus, bicycle",57,37,94,49,37,86,27,52,79,64,4,68,41,14,55,0,3,3,15,3,18,30,0,30,433
"Ferry/tram, taxi",62,35,97,151,21,172,21,34,55,13,11,24,7,15,22,6,3,9,0,3,3,0,0,0,382
"Ferry/tram, car as driver",865,176,"1,041","1,812",111,"1,923",391,153,544,186,70,256,90,38,128,26,31,57,6,3,9,26,0,26,"3,984"
"Ferry/tram, car as passenger",263,76,339,"1,422",49,"1,471",89,81,170,78,10,88,58,19,77,12,11,23,5,0,5,13,0,13,"2,186"
"Ferry/tram, motorbike",13,6,19,7,3,10,3,6,9,3,3,6,0,3,3,0,0,0,0,0,0,0,0,0,47
"Ferry/tram, bicycle",21,14,35,36,7,43,27,3,30,8,0,8,0,3,3,3,3,6,0,0,0,0,0,0,125
"Taxi, car as driver",335,125,460,306,73,379,156,89,245,106,20,126,99,28,127,21,8,29,6,8,14,37,0,37,"1,417"
"Taxi, car as passenger",280,121,401,221,94,315,103,76,179,72,26,98,76,19,95,14,18,32,6,5,11,30,0,30,"1,161"
"Taxi, motorbike",32,21,53,26,9,35,12,8,20,14,7,21,14,6,20,3,4,7,0,0,0,3,0,3,159
"Taxi, bicycle",11,6,17,17,8,25,7,10,17,6,0,6,3,5,8,0,0,0,0,3,3,0,0,0,76
"Car as driver, car as passenger","2,063","1,698","3,761","1,946","1,051","2,997",868,"1,019","1,887",795,343,"1,138",700,423,"1,123",160,310,470,60,65,125,308,0,308,"11,809"
"Car as driver, motorbike",233,529,762,223,297,520,108,398,506,114,146,260,107,142,249,21,37,58,9,10,19,35,0,35,"2,409"
"Car as driver, bicycle",188,213,401,226,275,501,92,255,347,197,77,274,132,88,220,17,17,34,26,13,39,47,0,47,"1,863"
"Car as passenger, motorbike",65,83,148,37,37,74,30,85,115,18,30,48,19,25,44,3,7,10,4,4,8,5,0,5,452
"Car as passenger, bicycle",140,116,256,190,156,346,114,200,314,79,42,121,121,54,175,5,20,25,11,12,23,21,0,21,"1,281"
"Motorbike, bicycle",38,29,67,43,30,73,27,28,55,20,9,29,20,15,35,0,3,3,3,3,6,3,0,3,271
"Train, bus, ferry/tram",780,36,816,"2,840",51,"2,891",43,14,57,17,8,25,22,8,30,0,5,5,3,3,6,0,0,0,"3,830"
"Train, bus, taxi","1,056",40,"1,096",207,21,228,63,16,79,22,0,22,31,4,35,0,3,3,0,0,0,3,0,3,"1,466"
"Train, bus, car as driver","1,599",58,"1,657",359,30,389,87,8,95,153,21,174,127,3,130,0,3,3,0,0,0,0,0,0,"2,448"
"Train, bus, car as passenger","2,707",85,"2,792",971,34,"1,005",215,11,226,174,3,177,154,3,157,0,0,0,0,0,0,0,0,0,"4,357"
"Train, bus, motorbike",66,0,66,6,3,9,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,83
"Train, bus, bicycle",81,5,86,74,5,79,10,0,10,16,0,16,13,0,13,0,0,0,0,0,0,0,0,0,204
"Train, ferry/tram, taxi",13,3,16,121,11,132,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"Train, ferry/tram, car as driver",138,5,143,"1,382",163,"1,545",6,0,6,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,"1,702"
"Train, ferry/tram, car as passenger",71,6,77,"1,037",85,"1,122",7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"1,209"
"Train, ferry/tram, motorbike",0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Train, ferry/tram, bicycle",10,0,10,63,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"Train, taxi, car as driver",102,4,106,39,3,42,14,3,17,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,170
"Train, taxi, car as passenger",134,15,149,60,3,63,30,4,34,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,256
"Train, taxi, motorbike",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Train, taxi, bicycle",5,0,5,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Train, car as driver, car as passenger",283,29,312,132,16,148,80,8,88,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,576
"Train, car as driver, motorbike",14,3,17,6,3,9,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,32
"Train, car as driver, bicycle",11,3,14,14,3,17,5,0,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,42
"Train, car as passenger, motorbike",13,0,13,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19
"Train, car as passenger, bicycle",17,3,20,18,5,23,17,0,17,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,66
"Train, motorbike, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus, ferry/tram, taxi",56,3,59,50,3,53,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
"Bus, ferry/tram, car as driver",117,7,124,93,3,96,19,8,27,11,0,11,9,0,9,0,0,0,5,0,5,3,0,3,275
"Bus, ferry/tram, car as passenger",91,8,99,200,3,203,9,6,15,10,3,13,3,0,3,0,0,0,0,0,0,0,0,0,333
"Bus, ferry/tram, motorbike",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bus, ferry/tram, bicycle",6,0,6,12,0,12,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21
"Bus, taxi, car as driver",55,7,62,15,5,20,11,3,14,12,0,12,12,3,15,0,3,3,5,0,5,7,0,7,138
"Bus, taxi, car as passenger",74,27,101,33,10,43,34,15,49,25,3,28,23,3,26,8,4,12,8,0,8,20,0,20,287
"Bus, taxi, motorbike",4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7
"Bus, taxi, bicycle",0,0,0,3,4,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Bus, car as driver, car as passenger",84,35,119,29,15,44,37,17,54,57,4,61,49,16,65,14,7,21,5,3,8,39,0,39,411
"Bus, car as driver, motorbike",3,0,3,0,3,3,0,0,0,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,12
"Bus, car as driver, bicycle",3,4,7,0,0,0,0,4,4,0,3,3,5,3,8,0,0,0,0,0,0,3,0,3,25
"Bus, car as passenger, motorbike",0,3,3,3,0,3,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12
"Bus, car as passenger, bicycle",3,0,3,11,5,16,3,6,9,8,3,11,6,0,6,0,0,0,0,0,0,3,0,3,48
"Bus, motorbike, bicycle",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry/tram, taxi, car as driver",11,3,14,20,3,23,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"Ferry/tram, taxi, car as passenger",5,0,5,13,0,13,4,3,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28
"Ferry/tram, taxi, motorbike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry/tram, taxi, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry/tram, car as driver, car as passenger",17,4,21,60,4,64,10,10,20,3,4,7,3,0,3,3,3,6,3,0,3,0,0,0,124
"Ferry/tram, car as driver, motorbike",0,0,0,0,3,3,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10
"Ferry/tram, car as driver, bicycle",0,3,3,7,0,7,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16
"Ferry/tram, car as passenger, motorbike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferry/tram, car as passenger, bicycle",0,0,0,4,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7
"Ferry/tram, motorbike, bicycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taxi, car as driver, car as passenger",48,21,69,45,11,56,25,18,43,12,0,12,16,6,22,4,3,7,4,0,4,4,0,4,217
"Taxi, car as driver, motorbike",3,0,3,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
"Taxi, car as driver, bicycle",0,3,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12
"Taxi, car as passenger, motorbike",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3
"Taxi, car as passenger, bicycle",5,3,8,3,9,12,3,10,13,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,39
"Taxi, motorbike, bicycle",0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Car as driver, car as passenger, motorbike",24,71,95,15,55,70,10,77,87,11,30,41,17,39,56,0,10,10,6,3,9,0,0,0,368
"Car as driver, car as passenger, bicycle",16,23,39,12,30,42,7,36,43,17,11,28,11,18,29,3,5,8,0,0,0,0,3,3,192
"Car as driver, motorbike, bicycle",3,24,27,8,13,21,3,11,14,4,0,4,3,3,6,0,3,3,3,0,3,0,0,0,78
"Car as passenger, motorbike, bicycle",0,3,3,3,5,8,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,20
Walked only,"60,374","58,682","119,056","43,093","35,884","78,977","15,683","46,231","61,914","12,519","16,282","28,801","10,441","17,398","27,839","4,046","8,136","12,182","1,519","4,787","6,306","4,159",161,"4,320","339,395"
Worked at home,"47,833","68,174","116,007","39,994","56,208","96,202","16,069","55,691","71,760","11,757","24,208","35,965","13,776","20,738","34,514","2,278","8,277","10,555",583,"1,216","1,799","2,868",38,"2,906","369,708"
