Method of Travel to Work,Sydney (SD),Balance of NSW,New South Wales,Melbourne (SD),Balance of Victoria,Victoria,Brisbane (SD),Balance of Qld,Queensland,Adelaide (SD),Balance of SA,South Australia,Perth (SD),Balance of WA,Western Australia,Greater Hobart (SD),Balance of Tasmania,Tasmania,Darwin (SD),Balance of NT,Northern Territory,Canberra (SD),Balance of ACT,Australian Capital Territory,Other Territories (SD)(c),Total
Train,"127,303","5,348","132,651","60,147","2,081","62,228","26,132",951,"27,083","4,723",95,"4,818","9,588",125,"9,713",21,43,64,21,20,41,64,5,69,0,"236,667"
Bus,"78,624","9,316","87,940","16,136","3,121","19,257","25,567","8,759","34,326","20,884","1,210","22,094","18,773","4,381","23,154","3,991","1,272","5,263","1,307","1,297","2,604","8,456",28,"8,484",133,"203,255"
Ferry/tram,"4,885",273,"5,158","21,917",344,"22,261",776,328,"1,104",744,39,783,195,74,269,29,43,72,17,29,46,41,0,41,18,"29,752"
Taxi,"7,537","2,067","9,604","3,937",936,"4,873","2,605","2,569","5,174","1,527",347,"1,874","1,359",542,"1,901",306,266,572,240,202,442,570,3,573,3,"25,016"
"Car, as driver","891,136","505,188","1,396,324","871,995","288,601","1,160,596","388,282","418,851","807,133","278,223","85,634","363,857","350,277","102,809","453,086","46,857","62,705","109,562","23,045","16,754","39,799","89,429",234,"89,663",605,"4,420,625"
"Car, as passenger","106,464","70,499","176,963","83,976","30,876","114,852","48,896","62,402","111,298","29,440","10,040","39,480","37,523","17,751","55,274","6,490","7,977","14,467","3,604","3,495","7,099","12,692",30,"12,722",98,"532,253"
Motor bike/motor scooter,"7,567","8,865","16,432","5,108","3,310","8,418","5,937","10,662","16,599","2,300","1,446","3,746","3,175","1,637","4,812",323,520,843,564,465,"1,029",983,4,987,23,"52,889"
Bicycle,"8,211","9,123","17,334","10,607","6,646","17,253","5,716","14,679","20,395","4,519","1,458","5,977","4,710","2,432","7,142",468,503,971,"1,300","1,294","2,594","2,752",7,"2,759",26,"74,451"
Other,"19,768","15,570","35,338","13,331","6,865","20,196","9,168","14,186","23,354","4,563","2,911","7,474","7,707","4,732","12,439","1,024","1,816","2,840",963,739,"1,702","1,250",14,"1,264",80,"104,687"
"Train, bus","40,546",781,"41,327","9,371",113,"9,484","2,068",120,"2,188","1,724",20,"1,744","4,817",62,"4,879",7,3,10,6,0,6,15,0,15,0,"59,653"
"Train, ferry/tram",654,24,678,"5,159",122,"5,281",73,3,76,13,0,13,25,0,25,0,3,3,0,0,0,4,0,4,0,"6,080"
"Train, taxi",847,52,899,272,16,288,191,11,202,20,3,23,47,0,47,0,0,0,0,0,0,3,0,3,0,"1,462"
"Train, car as driver","21,150","1,065","22,215","12,891",844,"13,735","5,563",474,"6,037",642,106,748,"3,007",41,"3,048",3,12,15,5,0,5,16,0,16,0,"45,819"
"Train, car as passenger","11,843",614,"12,457","4,579",290,"4,869","2,930",217,"3,147",338,24,362,"1,208",40,"1,248",5,10,15,7,3,10,10,0,10,0,"22,118"
"Train, motor bike/motor scooter",166,38,204,105,23,128,81,29,110,16,3,19,40,11,51,3,5,8,6,3,9,6,0,6,0,535
"Train, bicycle",584,138,722,704,40,744,370,26,396,95,8,103,208,11,219,0,3,3,0,0,0,4,0,4,0,"2,191"
"Train, other",322,42,364,195,26,221,60,15,75,8,3,11,20,6,26,0,4,4,0,0,0,3,0,3,0,704
"Bus, ferry/tram","1,608",49,"1,657","1,947",20,"1,967",210,47,257,108,3,111,24,0,24,6,3,9,0,5,5,3,0,3,30,"4,063"
"Bus, taxi",696,83,779,128,41,169,237,126,363,119,4,123,61,5,66,26,7,33,14,3,17,60,0,60,0,"1,610"
"Bus, car as driver","2,444",395,"2,839",630,200,830,"1,329",419,"1,748","1,220",175,"1,395","1,077",148,"1,225",219,117,336,41,42,83,658,0,658,0,"9,114"
"Bus, car as passenger","2,803",658,"3,461","1,194",266,"1,460","1,392",539,"1,931","1,041",88,"1,129",892,94,986,200,86,286,83,32,115,739,3,742,3,"10,113"
"Bus, motor bike/motor scooter",77,25,102,67,13,80,55,28,83,21,10,31,21,17,38,4,4,8,3,0,3,5,0,5,0,350
"Bus, Bicycle",94,47,141,88,29,117,46,63,109,54,6,60,51,25,76,10,3,13,23,5,28,69,0,69,3,616
"Bus, other",199,38,237,126,20,146,37,53,90,32,4,36,53,39,92,7,5,12,7,3,10,22,0,22,0,645
"Ferry/tram, taxi",73,3,76,118,3,121,9,13,22,3,0,3,7,0,7,0,0,0,3,0,3,0,0,0,0,232
"Ferry/tram, car as driver",487,90,577,"1,136",57,"1,193",492,220,712,95,41,136,50,8,58,8,18,26,6,9,15,6,0,6,0,"2,723"
"Ferry/tram, car as passenger",183,21,204,863,20,883,92,95,187,29,8,37,11,3,14,3,3,6,3,7,10,5,0,5,3,"1,349"
"Ferry/tram, motor bike/motor scooter",7,3,10,13,0,13,5,4,9,3,3,6,3,0,3,0,0,0,0,0,0,0,0,0,0,41
"Ferry/tram, bicycle",55,29,84,107,8,115,78,20,98,3,7,10,9,6,15,6,3,9,0,0,0,3,0,3,5,339
"Ferry/tram, other",22,13,35,189,11,200,15,9,24,7,3,10,7,3,10,0,5,5,4,0,4,3,0,3,0,291
"Taxi, car as driver",346,98,444,256,47,303,144,113,257,83,21,104,105,27,132,18,12,30,10,7,17,39,0,39,0,"1,326"
"Taxi, car as passenger",290,128,418,175,58,233,158,180,338,64,18,82,62,40,102,10,18,28,8,8,16,21,0,21,0,"1,238"
"Taxi, motor bike/motor scooter",7,0,7,4,0,4,0,0,0,3,0,3,4,0,4,0,0,0,0,3,3,0,0,0,0,21
"Taxi, bicycle",17,7,24,10,5,15,6,33,39,9,0,9,3,3,6,3,0,3,3,3,6,0,0,0,0,102
"Taxi, other",266,43,309,263,29,292,144,57,201,75,12,87,89,16,105,13,3,16,10,5,15,78,0,78,0,"1,103"
"Car as driver, car as passenger","5,264","4,020","9,284","4,409","1,958","6,367","2,440","3,234","5,674","1,561",708,"2,269","1,972",976,"2,948",335,560,895,173,178,351,689,3,692,6,"28,486"
"Car as driver, motor bike/motor scooter",253,435,688,229,256,485,203,481,684,94,118,212,122,112,234,16,38,54,17,20,37,40,3,43,0,"2,437"
"Car as driver, bicycle",240,354,594,348,277,625,199,451,650,162,64,226,184,92,276,30,28,58,45,39,84,98,0,98,0,"2,611"
"Car as driver, other",838,561,"1,399",742,308,"1,050",361,554,915,238,130,368,274,161,435,54,68,122,24,21,45,70,0,70,0,"4,404"
"Car as passenger, motor bike/motor scooter",43,69,112,41,24,65,32,98,130,17,23,40,26,23,49,4,11,15,6,3,9,7,0,7,3,430
"Car as passenger, bicycle",132,154,286,171,129,300,119,300,419,85,31,116,88,46,134,7,14,21,15,19,34,26,0,26,0,"1,336"
"Car as passenger, other",227,146,373,159,46,205,96,180,276,61,27,88,99,52,151,16,20,36,13,12,25,29,0,29,0,"1,183"
"M.bike/m.scooter, bicycle",36,53,89,26,27,53,21,77,98,11,11,22,9,14,23,3,4,7,5,5,10,5,0,5,0,307
"M.bike/m.scooter, other",20,94,114,8,33,41,5,47,52,3,12,15,7,21,28,3,6,9,0,3,3,0,0,0,0,262
"Bicycle, other",19,15,34,18,8,26,6,24,30,4,0,4,10,4,14,0,0,0,3,3,6,3,0,3,0,117
"Train, bus, ferry/tram",672,48,720,"1,809",37,"1,846",42,23,65,23,3,26,27,4,31,0,0,0,4,3,7,7,0,7,0,"2,702"
"Train, bus, taxi","1,082",52,"1,134",204,9,213,113,12,125,23,3,26,72,3,75,3,3,6,0,0,0,4,0,4,0,"1,583"
"Train, bus, car as driver","1,942",99,"2,041",420,29,449,164,29,193,123,16,139,432,10,442,0,0,0,0,0,0,3,0,3,0,"3,267"
"Train, bus, car as passenger","3,329",91,"3,420","1,029",37,"1,066",318,26,344,165,8,173,558,3,561,0,0,0,0,0,0,0,0,0,0,"5,564"
"Train, bus, motor bike/motor scooter",24,3,27,8,0,8,4,0,4,3,3,6,3,3,6,0,0,0,0,3,3,3,0,3,0,57
"Train, bus, bicycle",77,9,86,58,0,58,20,6,26,8,0,8,18,3,21,0,0,0,0,0,0,0,0,0,0,199
"Train, bus, other",191,13,204,104,3,107,17,3,20,9,0,9,22,0,22,0,0,0,0,0,0,0,0,0,0,362
"Train, ferry/tram, taxi",17,3,20,107,10,117,5,0,5,3,0,3,3,0,3,0,0,0,0,3,3,3,0,3,0,154
"Train, ferry/tram, car as driver",72,3,75,"1,359",130,"1,489",18,3,21,3,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0,"1,596"
"Train, ferry/tram, car as passenger",65,3,68,776,45,821,14,3,17,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,912
"Train, ferry/tram, motor bike/motor scooter",6,0,6,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Train, ferry/tram, bicycle",10,0,10,38,0,38,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,54
"Train, ferry/tram, other",0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"Train, taxi, car as driver",119,11,130,57,3,60,21,4,25,3,0,3,13,0,13,0,0,0,0,3,3,3,0,3,0,237
"Train, taxi, car as passenger",138,15,153,68,7,75,42,5,47,5,3,8,6,0,6,0,0,0,0,0,0,0,0,0,0,289
"Train, taxi, motor bike/motor scooter",3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Train, taxi, bicycle",5,3,8,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,17
"Train, taxi, other",22,0,22,12,3,15,7,3,10,3,0,3,3,3,6,0,0,0,0,0,0,3,0,3,0,59
"Train, car as driver, car as passenger",627,49,676,325,25,350,167,14,181,28,0,28,76,0,76,0,0,0,3,0,3,3,0,3,0,"1,317"
"Train, car as driver, motor bike/motor scooter",7,3,10,7,0,7,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,25
"Train, car as driver, bicycle",26,4,30,25,0,25,15,0,15,5,0,5,10,0,10,0,0,0,0,0,0,0,0,0,0,85
"Train, car as driver, other",96,14,110,75,8,83,27,4,31,3,0,3,9,0,9,0,0,0,0,0,0,0,0,0,0,236
"Train, car as passenger, motor bike/motor scooter",9,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Train, car as passenger, bicycle",19,3,22,22,0,22,19,3,22,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,70
"Train, car as passenger, other",72,8,80,50,6,56,27,3,30,3,0,3,11,3,14,0,0,0,0,0,0,0,0,0,0,183
"Train, motor bike/motor scooter, bicycle",3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,9
"Train, motor bike/motor scooter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Train, bicycle, other",9,0,9,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,15
"Bus, ferry/tram, taxi",46,5,51,27,0,27,9,12,21,4,0,4,6,3,9,3,0,3,3,0,3,0,0,0,3,121
"Bus, ferry/tram, car as driver",79,5,84,46,4,50,38,28,66,7,0,7,4,0,4,0,0,0,3,4,7,3,0,3,3,224
"Bus, ferry/tram, car as passenger",68,0,68,120,3,123,24,15,39,6,3,9,6,0,6,0,0,0,0,0,0,0,0,0,3,248
"Bus, ferry/tram, motor bike/motor scooter",6,0,6,3,0,3,0,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,7,25
"Bus, ferry/tram, bicycle",3,0,3,6,3,9,5,4,9,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,27
"Bus, ferry/tram, other",6,0,6,20,0,20,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,35
"Bus, taxi, car as driver",60,15,75,15,5,20,15,16,31,10,3,13,9,4,13,3,3,6,4,0,4,7,0,7,0,169
"Bus, taxi, car as passenger",102,42,144,35,11,46,44,54,98,33,5,38,23,3,26,8,0,8,5,0,5,14,0,14,0,379
"Bus, taxi, motor bike/motor scooter",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bus, taxi, bicycle",4,0,4,0,0,0,0,6,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Bus, taxi, other",12,0,12,5,3,8,3,6,9,3,0,3,8,4,12,0,0,0,0,3,3,3,0,3,0,50
"Bus, car as driver, car as passenger",157,50,207,49,20,69,90,47,137,78,14,92,70,14,84,14,11,25,5,8,13,54,0,54,0,681
"Bus, car as driver, motor bike/motor scooter",0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6
"Bus, car as driver, bicycle",7,3,10,4,0,4,3,7,10,8,0,8,6,0,6,0,0,0,0,0,0,0,0,0,0,38
"Bus, car as driver, other",12,8,20,15,4,19,6,11,17,3,0,3,5,4,9,0,0,0,0,3,3,3,0,3,0,74
"Bus, car as passenger, motor bike/motor scooter",3,4,7,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Bus, car as passenger, bicycle",8,4,12,15,4,19,5,12,17,9,3,12,7,0,7,0,0,0,3,0,3,3,0,3,0,73
"Bus, car as passenger, other",30,3,33,17,3,20,4,9,13,4,0,4,5,8,13,0,0,0,3,0,3,5,0,5,0,91
"Bus, motor bike/motor scooter, bicycle",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Bus, motor bike/motor scooter, other",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry/tram, taxi, car as driver",11,3,14,18,3,21,4,14,18,3,0,3,0,3,3,0,0,0,0,0,0,3,0,3,0,62
"Ferry/tram, taxi, car as passenger",4,3,7,17,0,17,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Ferry/tram, taxi, motor bike/motor scooter",0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Ferry/tram, taxi, bicycle",0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Ferry/tram, taxi, other",0,3,3,6,0,6,0,5,5,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,20
"Ferry/tram, car as driver, car as passenger",12,3,15,57,6,63,26,22,48,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,132
"Ferry/tram, car as driver, motor bike/motor scooter",3,0,3,4,0,4,4,4,8,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,21
"Ferry/tram, car as driver, bicycle",5,0,5,16,0,16,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35
"Ferry/tram, car as driver, other",5,0,5,16,3,19,6,6,12,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,39
"Ferry/tram, car as passenger, motor bike/motor scooter",3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Ferry/tram, car as passenger, bicycle",3,0,3,7,0,7,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"Ferry/tram, car as passenger, other",4,0,4,4,3,7,0,4,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,18
"Ferry/tram, motor bike/motor scooter, bicycle",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry/tram, motor bike/motor scooter, other",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ferry/tram, bicycle, other",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Taxi, car as driver, car as passenger",53,26,79,33,13,46,35,38,73,14,8,22,23,5,28,5,0,5,9,7,16,6,0,6,0,275
"Taxi, car as driver, motor bike/motor scooter",0,0,0,0,0,0,3,3,6,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9
"Taxi, car as driver, bicycle",0,3,3,3,3,6,0,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,18
"Taxi, car as driver, other",112,32,144,131,22,153,50,27,77,28,6,34,26,6,32,10,5,15,4,6,10,23,0,23,0,488
"Taxi, car as passenger, motor bike/motor scooter",0,0,0,3,0,3,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,13
"Taxi, car as passenger, bicycle",9,6,15,3,0,3,3,12,15,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,36
"Taxi, car as passenger, other",47,12,59,41,4,45,32,18,50,8,6,14,21,5,26,0,0,0,3,3,6,12,0,12,0,212
"Taxi, motor bike/motor scooter, bicycle",0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Taxi, motor bike/motor scooter, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taxi, bycycle, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3
"Car as driver, car as passenger, motor bike/motor scooter",18,46,64,12,24,36,15,57,72,5,7,12,4,28,32,0,3,3,3,5,8,5,0,5,0,232
"Car as driver, car as passenger, bicycle",17,33,50,26,24,50,13,55,68,12,4,16,20,11,31,0,5,5,5,5,10,6,0,6,0,236
"Car as driver, car as passenger, other",52,44,96,48,18,66,24,40,64,10,6,16,29,14,43,3,0,3,0,5,5,0,0,0,0,293
"Car as driver, motor bike/motor scooter, bicycle",5,14,19,6,7,13,7,21,28,3,3,6,3,3,6,3,0,3,0,0,0,3,0,3,0,78
"Car as driver, motor bike/motor scooter, other",6,26,32,0,12,12,0,23,23,0,9,9,0,12,12,0,3,3,0,3,3,0,0,0,0,94
"Car as driver, bicycle, other",4,5,9,3,3,6,0,7,7,0,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,28
"Car as passenger, motor bike/motor scooter, bicycle",0,5,5,3,0,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Car as passenger, motor bike/motor scooter, other",0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,11
"Car as passenger, bicycle, other",0,4,4,0,3,3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Motor bike/motor scooter, bicycle, other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walked only,"63,199","51,428","114,627","35,668","27,883","63,551","17,552","44,238","61,790","9,948","11,548","21,496","11,217","17,143","28,360","3,879","5,659","9,538","1,742","7,356","9,098","5,413",57,"5,470",144,"314,074"
Worked at home,"66,434","68,680","135,114","55,634","51,742","107,376","27,902","58,873","86,775","14,943","19,499","34,442","22,356","19,492","41,848","2,908","7,713","10,621",999,"2,005","3,004","4,709",24,"4,733",17,"423,930"
