Method of Travel to Work,Sydney,Balance of NSW,New South Wales,Melbourne,Balance of Victoria,Victoria,Brisbane,Balance of QLD,Queensland,Adelaide,Balance of SA,South Australia,Perth,Balance of WA,Western Australia,Greater Hobart,Balance of Tasmania,Tasmania,Darwin,Balance of NT,Northern Territory,Canberra,Balance of ACT,Australian Capital Territory,Other Territories(c),Total Australia
Train,"145,125","5,570","150,695","68,519","2,549","71,068","27,620","1,356","28,976","4,575",115,"4,690","9,433",98,"9,531",23,21,44,16,10,26,71,3,74,0,"265,104"
Bus,"84,124","7,832","91,956","14,851","2,727","17,578","28,602","8,980","37,582","21,653",933,"22,586","20,243","4,263","24,506","3,318",888,"4,206","1,283","1,207","2,490","7,371",16,"7,387",3,"208,294"
Ferry,"5,400",192,"5,592",260,108,368,"1,582",375,"1,957",88,43,131,171,66,237,30,24,54,15,27,42,28,0,28,19,"8,428"
Tram,889,93,982,"30,016",250,"30,266",103,77,180,906,12,918,88,27,115,13,12,25,14,6,20,23,0,23,0,"32,529"
Taxi,"6,614","1,659","8,273","3,603",797,"4,400","2,213","1,857","4,070","1,245",269,"1,514","1,149",472,"1,621",254,175,429,243,149,392,445,3,448,0,"21,147"
"Car, as driver","946,204","542,001","1,488,205","953,526","325,093","1,278,619","431,786","473,026","904,812","296,243","96,663","392,906","384,645","113,977","498,622","46,983","63,365","110,348","30,150","13,265","43,415","98,877",248,"99,125",547,"4,816,599"
"Car, as passenger","101,946","67,102","169,048","79,270","30,721","109,991","49,674","62,669","112,343","27,647","9,968","37,615","35,406","16,496","51,902","6,026","6,672","12,698","4,121","2,794","6,915","12,622",36,"12,658",63,"513,233"
Truck,"29,903","24,166","54,069","17,466","8,308","25,774","12,968","17,560","30,528","4,628","2,696","7,324","7,503","3,522","11,025",901,"1,857","2,758",512,420,932,"1,702",4,"1,706",17,"134,133"
Motorbike/scooter,"7,136","7,050","14,186","5,401","2,989","8,390","6,090","9,480","15,570","1,775","1,136","2,911","2,893","1,352","4,245",345,481,826,613,292,905,"1,062",0,"1,062",25,"48,120"
Bicycle,"9,222","8,549","17,771","12,829","6,112","18,941","6,793","13,421","20,214","4,628","1,280","5,908","5,597","2,668","8,265",627,527,"1,154","1,544","1,259","2,803","3,097",12,"3,109",45,"78,210"
Other,"7,342","6,291","13,633","5,779","3,596","9,375","3,037","6,779","9,816","2,393","1,632","4,025","4,280","2,995","7,275",408,808,"1,216",565,568,"1,133",604,8,612,19,"47,104"
"Train, bus","40,145",684,"40,829","9,395",120,"9,515","2,344",150,"2,494","1,604",18,"1,622","5,297",49,"5,346",9,3,12,4,7,11,34,0,34,0,"59,863"
"Train, ferry",801,21,822,8,3,11,48,3,51,0,3,3,11,0,11,0,0,0,0,0,0,0,0,0,0,898
"Train, tram",443,23,466,"8,864",173,"9,037",16,4,20,13,0,13,9,0,9,0,0,0,0,0,0,3,0,3,0,"9,548"
"Train, taxi",898,69,967,277,20,297,148,13,161,23,0,23,33,3,36,0,0,0,0,0,0,5,0,5,0,"1,489"
"Train, car as driver","26,665","1,469","28,134","18,587","1,413","20,000","7,769",857,"8,626",856,115,971,"4,402",55,"4,457",3,8,11,4,0,4,17,0,17,0,"62,220"
"Train, car as passenger","14,237",772,"15,009","5,605",318,"5,923","3,353",295,"3,648",328,25,353,"1,448",13,"1,461",3,0,3,0,3,3,8,0,8,3,"26,411"
"Train, truck",68,3,71,18,4,22,15,4,19,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,124
"Train, motorbike/scooter",100,8,108,34,9,43,40,10,50,3,0,3,8,3,11,0,0,0,0,0,0,0,0,0,0,215
"Train, bicycle",940,147,"1,087","1,031",62,"1,093",584,35,619,103,3,106,291,0,291,0,0,0,0,0,0,3,0,3,0,"3,199"
"Train, other",434,31,465,156,7,163,110,6,116,10,3,13,27,0,27,0,0,0,0,0,0,3,0,3,0,787
"Bus, ferry","1,776",43,"1,819",18,6,24,236,71,307,9,0,9,42,4,46,3,3,6,0,3,3,4,0,4,24,"2,242"
"Bus, tram",151,3,154,"2,082",10,"2,092",3,0,3,155,0,155,3,0,3,0,0,0,0,0,0,0,0,0,0,"2,407"
"Bus, taxi",829,85,914,91,30,121,203,107,310,95,6,101,62,12,74,15,16,31,21,5,26,52,0,52,3,"1,632"
"Bus, car as driver","3,510",421,"3,931","1,018",272,"1,290","1,985",463,"2,448","1,756",226,"1,982","1,801",224,"2,025",223,79,302,80,47,127,409,0,409,0,"12,514"
"Bus, car as passenger","3,628",758,"4,386","1,404",312,"1,716","1,905",757,"2,662","1,381",104,"1,485","1,255",132,"1,387",230,80,310,135,22,157,791,0,791,0,"12,894"
"Bus, truck",19,7,26,3,5,8,11,18,29,5,3,8,7,4,11,3,0,3,0,0,0,3,0,3,0,88
"Bus, motorbike/scooter",37,6,43,3,3,6,13,15,28,6,0,6,8,3,11,0,0,0,3,0,3,7,0,7,0,104
"Bus, bicycle",216,38,254,57,23,80,91,74,165,100,3,103,97,18,115,16,3,19,17,9,26,76,0,76,0,838
"Bus, other",235,36,271,51,20,71,88,82,170,34,3,37,94,48,142,12,3,15,11,6,17,28,0,28,0,751
"Ferry, tram",14,3,17,10,3,13,3,4,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"Ferry, taxi",64,0,64,3,0,3,18,9,27,3,0,3,3,0,3,0,3,3,0,0,0,0,0,0,0,103
"Ferry, car as driver",750,148,898,92,67,159,851,427,"1,278",34,61,95,77,9,86,17,23,40,4,27,31,8,0,8,6,"2,601"
"Ferry, car as passenger",225,18,243,13,8,21,141,100,241,4,5,9,21,5,26,0,5,5,3,11,14,0,0,0,0,559
"Ferry, truck",6,3,9,6,3,9,5,10,15,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,0,40
"Ferry, motorbike/scooter",15,4,19,4,3,7,3,15,18,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,56
