Method of Travel to Work,Sydney,Hunter NSW,Illawarra NSW,Richmond-Tweed NSW,Mid-North Coast NSW,Northern NSW,North Western NSW,Central West NSW,South Eastern NSW,Murrumbidgee NSW,Murray NSW,Far West NSW,Off-Shore Areas & Migratory NSW,No Usual Address NSW,Melbourne,Barwon VIC,Western District VIC,Central Highlands VIC,Wimmera VIC,Mallee VIC,Loddon VIC,Goulburn VIC,Ovens-Murray VIC,East Gippsland VIC,Gippsland VIC,Off-Shore Areas & Migratory VIC,No Usual Address VIC,Brisbane,Gold Coast QLD,Sunshine Coast QLD,West Moreton QLD,Wide Bay-Burnett QLD,Darling Downs QLD,South West QLD,Fitzroy QLD,Central West QLD,Mackay QLD,Northern QLD,Far North QLD,North West QLD,Off-Shore Areas & Migratory QLD,No Usual Address QLD,Adelaide,Outer Adelaide,Yorke and Lower North SA,Murray Lands SA,South East SA,Eyre SA,Northern SA,Off-Shore Areas & Migratory SA,No Usual Address SA,Perth,South West WA,Lower Great Southern WA,Upper Great Southern WA,Midlands WA,South Eastern WA,Central WA,Pilbara WA,Kimberley WA,Off-Shore Areas & Migratory WA,No Usual Address WA,Greater Hobart,Southern TAS,Northern TAS,Mersey-Lyell TAS,Off-Shore Areas & Migratory TAS,No Usual Address TAS,Darwin,Northern Territory - Bal,Off-Shore Areas & Migratory NT,No Usual Address NT,Canberra,Australian Capital Territory - Bal,No Usual Address ACT,Other Territories AUST,Off-Shore Areas & Migratory AUST,No Usual Address AUST,Total
Train,152722,1483,3344,37,47,27,15,52,61,16,10,4,0,194,87217,1252,20,462,12,23,536,308,17,12,87,0,108,33626,1756,368,33,32,31,4,29,0,27,21,29,0,0,71,6676,117,13,6,12,5,6,0,15,14001,30,4,0,20,5,10,7,9,0,36,22,4,13,8,0,0,20,8,0,0,56,0,0,0,0,0,305196
Bus,92355,2842,1280,567,514,378,300,388,634,372,243,26,0,165,16274,1040,170,387,89,173,358,277,217,163,321,0,61,39471,3434,1379,105,712,594,47,1544,21,1322,1385,1731,309,0,222,26657,570,37,100,81,66,395,0,41,27438,1175,162,61,269,935,461,1674,271,14,157,4044,128,574,272,0,7,1780,1186,0,32,10219,0,41,3,0,0,250720
Ferry,5763,92,23,20,15,5,12,21,15,3,25,0,0,12,350,28,5,12,12,13,27,13,10,4,13,0,0,2335,47,32,3,62,13,3,26,0,93,90,43,13,0,22,116,13,3,3,8,10,6,0,0,190,12,9,0,6,4,9,3,4,0,11,23,4,12,18,0,0,9,30,4,3,25,0,0,30,0,0,9840
Tram,950,15,24,9,12,4,0,5,13,7,11,0,0,0,33110,40,17,13,9,7,26,21,15,13,12,0,58,119,16,17,0,4,3,0,12,0,6,15,8,3,0,0,1160,3,3,3,0,3,6,0,4,75,9,3,0,0,0,4,0,4,0,0,15,0,10,5,0,0,5,3,0,0,30,0,0,0,0,0,35939
Taxi,6522,344,261,141,164,151,91,179,153,124,60,23,0,16,3648,189,54,143,39,81,127,86,58,35,88,0,4,2309,383,135,12,200,267,20,263,9,204,263,348,99,0,17,1202,44,5,18,27,43,118,0,6,1372,146,51,4,14,124,78,115,63,0,10,273,10,148,61,0,0,227,94,0,0,413,0,0,0,0,0,21976
"Car, as driver",1019113,159409,101428,53084,62733,42082,26369,43968,53658,40839,30866,4641,0,1318,1027145,74774,26129,40534,12345,23393,46799,52509,27375,19466,42514,0,1035,500720,146421,75341,17232,57413,58653,6405,53217,2501,43392,58182,61538,7368,7,1621,320734,35805,9632,17973,18612,8755,17894,0,421,438864,56772,13733,4074,11851,14429,14323,10143,5249,18,832,52934,8102,36322,27985,3,133,33223,13317,4,160,107400,75,136,590,0,0,5404035
"Car, as passenger",100188,15744,10151,5716,7298,4745,3382,5140,6132,4552,2881,657,3,277,79023,5927,2488,3438,974,2461,3950,4659,2487,1768,3698,0,160,53166,14088,7319,1966,7290,7190,944,7534,325,6253,7045,8319,1356,5,455,28359,2829,822,1754,1769,882,2192,0,110,41353,6927,1605,393,1234,2289,1769,1867,1080,12,229,6945,922,3764,2849,0,22,4277,2791,0,51,12978,6,27,65,0,0,533326
Truck,25642,4157,2600,1808,2319,2167,1342,1668,2139,1195,769,92,0,60,15533,1207,633,701,299,482,806,1261,521,477,851,0,39,12473,3340,2026,922,2066,1846,317,1249,113,1086,1638,1932,203,0,64,4197,807,292,385,402,188,328,0,13,7539,1069,335,193,559,379,386,255,142,0,47,874,297,750,649,0,9,469,313,0,10,1469,0,5,4,0,0,120408
Motorbike/scooter,9062,1720,1038,638,829,658,342,461,749,467,397,118,0,21,7524,446,400,248,70,285,336,624,300,247,343,0,18,9137,1874,1045,318,1259,980,136,1199,63,732,1781,1283,221,0,39,3192,379,50,198,177,65,256,0,5,3835,384,125,37,112,156,205,153,153,0,15,459,45,293,284,0,3,691,280,0,6,1761,4,4,37,0,0,60772
Bicycle,10888,1971,1161,1063,1050,484,319,519,490,576,631,92,0,30,18908,1166,464,551,352,373,692,1216,610,435,374,0,38,7951,2040,1125,91,1284,1041,124,1157,108,926,2077,2351,248,0,56,6473,328,116,215,271,144,378,0,9,6787,683,198,78,148,299,374,318,373,3,42,833,48,348,242,0,3,1472,1096,0,18,3745,3,10,32,0,0,90119
Other,8570,988,721,474,591,649,455,609,607,702,378,77,20,106,6539,443,340,297,273,342,360,565,274,434,313,25,89,3657,1160,705,213,700,694,222,609,121,687,1242,1303,263,49,121,2741,456,270,293,274,168,266,4,18,6053,766,285,233,478,288,446,194,321,139,132,419,137,361,349,17,0,598,374,46,36,697,4,3,16,0,0,53869
"Train, bus",34378,153,238,16,10,3,0,10,10,0,0,0,0,76,10620,42,3,14,0,3,13,3,3,6,58,0,17,4338,296,54,13,3,3,0,0,0,3,3,3,0,0,17,1898,10,4,0,0,0,0,0,9,6758,16,4,0,9,3,4,0,0,0,17,3,0,4,5,0,0,5,0,0,0,17,0,0,0,0,0,59175
"Train, ferry",778,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897
"Train, tram",353,0,10,0,0,0,0,0,0,4,0,0,0,0,10036,83,0,29,0,0,40,20,0,5,9,0,25,7,0,0,0,0,5,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10653
"Train, taxi",657,17,25,0,0,0,0,4,0,0,0,0,0,4,266,4,0,8,0,0,3,3,0,0,0,0,0,133,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1185
"Train, car as driver",23657,392,811,28,8,8,4,26,50,0,4,0,0,29,18335,627,4,182,0,0,289,145,7,6,66,0,4,8573,617,216,118,8,14,0,4,0,0,4,4,0,0,13,1133,125,4,0,0,0,0,0,0,5065,16,0,0,39,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,60650
"Train, car as passenger",10452,162,298,7,3,0,0,12,10,3,0,0,0,11,4820,71,0,28,0,3,50,27,4,0,15,0,10,2828,220,37,32,3,5,0,0,0,0,4,0,0,0,11,355,33,6,0,0,0,0,0,0,1379,11,0,0,7,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,20939
"Train, truck",37,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Train, motorbike/scooter",115,5,9,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,81,10,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278
"Train, bicycle",854,50,66,0,0,0,0,4,0,0,0,0,0,5,1145,20,0,10,3,0,16,4,0,0,0,0,5,633,55,10,0,0,0,0,3,0,0,0,0,0,0,5,146,0,0,0,0,0,0,0,8,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373
"Train, other",411,12,15,4,4,5,0,7,5,0,0,0,0,5,190,0,0,0,0,0,0,0,0,0,0,0,0,102,10,0,0,0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826
"Bus, ferry",1468,30,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,355,6,5,0,4,0,0,0,0,26,20,5,0,0,0,5,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,1986
"Bus, tram",123,0,3,0,3,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0,3,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456
"Bus, taxi",630,28,10,17,8,3,3,5,3,3,3,0,0,0,87,9,3,4,3,0,6,0,4,5,3,0,0,178,32,9,0,5,8,0,11,0,8,14,8,0,0,0,96,0,0,0,0,0,5,0,0,85,3,4,0,0,3,5,0,4,0,0,13,4,7,8,0,0,19,0,0,0,29,0,0,0,0,0,1395
"Bus, car as driver",3115,90,38,13,15,23,7,16,46,8,7,3,0,3,734,60,7,21,9,6,15,21,7,15,16,0,0,2385,90,44,18,54,32,3,95,0,94,66,31,3,0,8,1725,235,10,16,11,6,24,0,0,1771,80,10,4,4,65,13,40,4,0,3,213,16,18,8,0,0,86,35,0,4,430,0,0,4,0,0,12053
"Bus, car as passenger",2998,210,91,65,56,23,11,14,84,18,14,3,0,9,1150,89,14,44,5,8,45,34,16,18,36,0,3,1853,302,159,13,38,35,3,40,0,52,58,95,3,0,4,1111,60,0,3,6,0,9,0,3,1184,43,3,0,6,19,5,15,4,0,0,268,13,49,24,0,0,102,32,0,0,641,0,0,0,0,0,11313
"Bus, truck",12,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"Bus, motorbike/scooter",37,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,3,0,8,0,3,3,4,0,0,0,10,0,0,0,0,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,130
"Bus, bicycle",194,8,8,7,0,3,0,0,6,0,0,0,0,4,64,0,0,0,0,0,5,0,7,4,7,0,0,93,22,3,0,0,4,0,3,0,0,13,15,4,0,0,74,0,0,0,0,0,0,0,0,71,4,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,14,0,0,0,73,0,0,0,0,0,735
"Bus, other",208,12,4,0,4,0,0,0,0,5,0,0,0,0,51,6,0,0,0,0,0,3,4,0,4,0,5,80,15,8,0,3,9,0,4,0,0,32,23,15,0,0,40,0,0,0,0,0,0,0,0,150,6,0,0,5,13,14,5,0,0,5,20,0,4,0,0,0,13,3,0,0,12,0,0,0,0,0,785
"Ferry, tram",5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Ferry, taxi",53,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"Ferry, car as driver",597,71,3,9,48,0,3,0,0,0,3,0,0,0,32,4,5,0,0,0,0,0,0,22,3,0,0,889,69,20,0,37,0,0,5,0,124,145,25,0,0,9,15,5,0,44,0,0,0,0,0,54,4,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,3,40,0,0,0,0,0,4,0,0,2323
"Ferry, car as passenger",149,18,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,3,0,0,155,13,0,0,16,0,0,0,0,43,29,8,0,0,3,0,0,0,5,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,3,0,0,498
"Ferry, truck",5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"Ferry, motorbike/scooter",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,8,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"Ferry, bicycle",123,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,86,0,0,0,4,0,0,0,0,0,19,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
"Ferry, other",14,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
