Method of Travel to Work,Greater Melbourne,Rest of Vic.,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),Greater Brisbane,Rest of Qld,No Usual Address (Qld),Migratory - Offshore - Shipping (Qld),Greater Adelaide,Rest of SA,No Usual Address (SA),Migratory - Offshore - Shipping (SA),Greater Perth,Rest of WA,No Usual Address (WA),Migratory - Offshore - Shipping (WA),Greater Hobart,Rest of Tas.,No Usual Address (Tas.),Migratory - Offshore - Shipping (Tas.),Greater Darwin,Rest of NT,No Usual Address (NT),Migratory - Offshore - Shipping (NT),Australian Capital Territory,No Usual Address (ACT),Migratory - Offshore - Shipping (ACT),Other Territories,No Usual Address (OT),Migratory - Offshore - Shipping (OT),Rest of NSW,No Usual Address (NSW),Migratory - Offshore - Shipping (NSW),Greater Sydney,Total
Train,115977,4113,140,0,39744,2985,69,4,7321,77,15,0,24098,122,48,0,34,36,0,0,16,6,0,0,111,0,0,0,0,0,5098,240,0,187759,388013
Bus,22555,3884,67,0,51888,15087,211,0,28940,1223,50,0,30600,9935,227,4,4312,1182,10,0,2059,1136,35,0,11025,31,0,63,4,0,8574,191,0,107894,301187
Ferry,415,167,0,0,2384,440,17,3,132,35,0,0,223,110,5,10,27,38,0,0,26,14,0,0,23,0,0,38,0,0,305,23,0,6455,10890
Tram,42403,197,92,0,124,95,0,0,2063,25,0,0,141,30,0,0,21,8,0,0,14,5,0,0,24,0,0,0,0,0,92,4,0,1163,46501
Taxi,3953,924,10,0,2202,2120,11,4,1296,245,7,0,1695,508,8,4,304,257,4,3,214,108,0,5,464,0,0,0,0,0,1730,18,0,5983,22077
"Car, as driver",1165538,387927,1028,0,592706,654377,1399,52,369249,101670,444,0,527159,134848,926,20,58579,78408,149,8,39763,15490,179,4,121971,136,0,585,7,0,698915,1465,4,1106965,6059971
"Car, as passenger",83810,32155,141,0,56437,68492,339,4,30239,8848,77,0,46367,16880,236,0,7306,7446,40,3,4609,3096,45,0,13606,19,0,86,3,0,63549,269,0,93536,537638
Truck,14287,5802,30,0,11595,13921,83,3,4065,1797,18,0,7541,2910,36,0,749,1294,3,0,446,277,9,0,1285,5,0,12,0,0,16558,46,0,21975,104747
Motorbike/scooter,7928,2711,8,0,9724,9342,31,0,3261,791,8,0,4943,1552,16,0,484,656,0,0,1009,400,8,0,1800,0,0,41,0,0,6965,21,0,12644,64343
Bicycle,25703,5169,43,0,10425,11088,61,4,6494,999,13,0,9311,2400,47,3,879,488,0,0,1663,1064,14,0,4668,3,0,24,0,0,7688,39,0,15625,103915
Other,8320,4018,48,16,5073,9074,109,52,3639,1713,15,0,9650,4688,137,191,513,878,9,21,758,462,23,48,856,5,0,36,0,0,6713,68,11,9473,66617
"Train, bus",16011,288,28,0,6749,514,18,0,1599,7,3,0,13940,32,34,0,4,6,0,0,8,0,0,0,15,0,0,0,0,0,626,85,0,43744,83711
"Train, ferry",16,0,0,0,58,4,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,1224,1348
"Train, tram",13553,290,30,0,9,3,0,0,130,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,23,0,0,594,14653
"Train, taxi",286,33,0,0,148,20,0,0,7,0,0,0,56,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,54,3,0,624,1241
"Train, car as driver",23148,1630,18,0,11104,1579,12,0,1595,85,0,0,10032,101,12,3,3,8,0,0,6,0,0,0,3,0,0,0,0,0,1688,20,0,26774,77821
"Train, car as passenger",5743,272,11,0,2850,277,7,0,339,14,0,0,2284,21,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,478,12,0,9801,22121
"Train, truck",5,0,0,0,8,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,48
"Train, motorbike/scooter",75,5,0,0,118,35,0,0,4,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,242,564
"Train, bicycle",1701,146,4,0,596,54,0,0,104,0,0,0,596,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,141,3,0,1136,4492
"Train, other",354,25,0,0,141,42,5,0,23,0,0,0,74,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,33,0,0,670,1382
